Course Code,Course Title,Historical Consciousness,Aesthetic Exploration,Philosophical Inquiry and Life’s Meanings,Social Inquiry II,Social Inquiry I,Scientific Inquiry II,Scientific Inquiry I,Quantitative Reasoning II,Quantitative Reasoning I,Ethical Reasoning,Global Citizenship and Intercultural Literacy,The Individual in Community,Digital/Multimedia Expression,Oral and/or Signed Communication,Writing-Intensive Course,"Writing, Research, and Inquiry",First-Year Writing Seminar,Creativity / Innovation,Teamwork / Collaboration,Research and Information Literacy,Critical Thinking
CAS AA 112,Black Power in the Classroom: The History of Black Studies,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AA 113,Introduction to Antiracism,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAS AA 207,Sociology of Race and Ethnicity,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CAS AA 207S,Sociology of Race and Ethnicity,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CAS AA 221,Catastrophe and Memory,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AA 237,Reconstructing the African Past,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AA 237S,Reconstructing the African Past,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AA 287,Slavery and the In-Between,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAS AA 297,African American Women's History,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAS AA 310,Civil Rights History,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CAS AA 310S,History of the Civil Rights Movement,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CAS AA 335,"Sociology of Race, Class & Gender",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CAS AA 335S,"Sociology of Race, Class & Gender",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CAS AA 363,Race and the Development of the American Economy: A Global Perspective,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AA 371,Black Freedom Dreams: America and the World,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CAS AA 371S,Black Freedom Dreams: America and the World,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CAS AA 382,History of Religion in Pre-Colonial Africa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AA 383,African Diaspora Religions,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CAS AA 388,Transnational Black Radicalism from the 19th Century to the Present,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS AA 410,The Poetics and Politics of Hip Hop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AA 514,"Labor, Sexuality, and Resistance in the Afro-Atlantic World",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AA 523,"Race, Ethnicity, and Childhood in US History",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS AA 574,"Introduction to Critical University Studies: Space, Place, and BU",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS AA 683,African Diaspora Religions,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CAS AH 111,Pyramids to Cathedrals: An Introduction to Ancient and Medieval Art,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS AH 111S,Pyramids to Cathedrals: An Introduction to Ancient and Medieval Art,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS AH 112,Introduction to Art in Europe and the United States from the Renaissance to Post- Modernism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AH 112S,Introduction to Art in Europe and the United States from the Renaissance to Post- Modernism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AH 201,Understanding Architecture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AH 201S,Understanding Architecture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AH 205,History of World Architecture,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS AH 210,Learning to See,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AH 210S,Learning to See,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AH 225,The Arts of Asia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AH 225S,The Arts of Asia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AH 232,Archaeology of Ancient Egypt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 233,The Arts of Greece,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 233S,The Arts of Greece,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 240,Medieval Art in Europe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 242,Latin American Art Since Contact,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 242S,Latin American Art Since Contact,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 251,Ancient Maya Civilization,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 257,Renaissance Art,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AH 257E,Renaissance Art,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AH 257S,Renaissance Art,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AH 284,Arts in America,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AH 319E,British Arts & Media,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 320E,British Arts in the Twentieth Century,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 325,"Art, Media, and Buddhism",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
