Historical Consciousness,Aesthetic Exploration,Philosophical Inquiry and Life’s Meanings,Social Inquiry II,Social Inquiry I,Scientific Inquiry II,Scientific Inquiry I,Quantitative Reasoning II,Quantitative Reasoning I,Ethical Reasoning,Global Citizenship and Intercultural Literacy,The Individual in Community,Digital/Multimedia Expression,Oral and/or Signed Communication,Writing-Intensive Course,"Writing, Research, and Inquiry",First-Year Writing Seminar,Creativity / Innovation,Teamwork / Collaboration,Research and Information Literacy,Critical Thinking
CAS AA 112,CAS AA 114,CAS AN 211,CAS AA 270,CAS AA 112,CAS AN 330,CAS AN 102,CAS AN 333,CAS AN 335,CAS AA 234,CAS AA 103,CAS AA 113,CAS AA 287,CAS AH 113,CAS AA 103,CAS CC 201,CAS CC 101,CAS AA 296,CAS AA 310,CAS AA 112,CAS AA 103
Black Power in the Classroom: The History of Black Studies,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",Humans Among Animals,"Race, Sex and Science Fiction",Black Power in the Classroom: The History of Black Studies,From Conception to Death: The Evolution of Human Life History,"Human Biology, Behavior, and Evolution",Human Population Genetics,The Ape Within: Great Apes and the Evolution of Human Behavior,African Americans in Global Perspective: Slavery and the Creation of Race,Introduction to African American Literature,Introduction to Antiracism,Slavery and the In-Between,Arts and Monuments of Asia,Introduction to African American Literature,"Core Humanities 3: Renaissance, Rediscovery, and Reformation",Core Humanities I: Ancient Worlds,Religion and Hip Hop,Civil Rights History,Black Power in the Classroom: The History of Black Studies,Introduction to African American Literature
CAS AA 113,CAS AA 132,CAS AN 252,CAS AA 308,CAS AA 238,CAS AN 333,CAS AN 102S,CAS AN 519,CAS AN 335S,CAS AA 234S,CAS AA 103S,CAS AA 132,CAS AA 296,CAS AH 387,CAS AA 103S,CAS CH 112,CAS CC 101S,CAS AA 356,CAS AA 310S,CAS AA 207,CAS AA 103S
Introduction to Antiracism,Write Back Soon: Blackness and the Prison,Ethnicity and Identity,Race and Politics,Modern Africa,Human Population Genetics,"Human Biology, Behavior, and Evolution",Theory and Method in Environmental Archaeology,The Ape Within,African Americans in Global Perspective: Slavery and the Creation of Race,Introduction to African American Literature,Write Back Soon: Blackness and the Prison,Religion and Hip Hop,Boston Architecture and Urbanism,Introduction to African American Literature,Intensive General Chemistry with Quantitative Analysis Lab 2,The Ancient World,Religion in the Digital Age,History of the Civil Rights Movement,Sociology of Race and Ethnicity,Introduction to African American Literature
CAS AA 207,CAS AA 210,CAS AN 252S,CAS AA 313,CAS AA 294,CAS AN 335,CAS AN 233,CAS AN 588,CAS AN 336,CAS AA 301,CAS AA 114,CAS AA 207,CAS AA 297,CAS AH 495,CAS AA 210,CAS CH 182,CAS EN 120,CAS AA 523,CAS AA 313,CAS AA 207S,CAS AA 113
Sociology of Race and Ethnicity,American Minstrelsy,Ethnicity and Identity,The Politics and Policy of HBO's The Wire,Religion and Black Popular Music,The Ape Within: Great Apes and the Evolution of Human Behavior,The Evolutionary Biology of Human Variation,Project Design and Statistics in Biological Anthropology,Primate Evolutionary Ecology,African Diaspora Archaeology,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",Sociology of Race and Ethnicity,African American Women's History,Seminar: Twentieth Century Art,American Minstrelsy,Intensive General and Quantitative Analytical Chemistry 2,Freshman Seminar,"Race, Ethnicity, and Childhood in US History",The Politics and Policy of HBO's The Wire,Sociology of Race and Ethnicity,Introduction to Antiracism
CAS AA 207S,CAS AA 215,CAS AN 311,CAS AA 363,CAS AA 294S,CAS AN 335S,CAS AN 234,CAS AN 595,CAS AN 518,CAS AA 308,CAS AA 215,CAS AA 207S,CAS AA 335,CAS AH 495S,CAS AA 304,CAS EN 220,CAS LN 260E,CAS AA 656,CAS AA 371,CAS AA 210,CAS AA 114
Sociology of Race and Ethnicity,Arts of Africa and Its Diaspora,Culture and Biotech: Beyond the Nature/Culture Divide,Race and the Development of the American Economy: A Global Perspective,Religion and Black Popular Music,The Ape Within,Evolutionary Psychology,Methods in Biological Anthropology,Zooarchaeology,Race and Politics,Arts of Africa and Its Diaspora,Sociology of Race and Ethnicity,"Sociology of Race, Class & Gender",Seminar: Critical Issues in Painting Since 1945,Introduction to African American Women Writers,Seminar in Literature,ASIAN CULTURE,Religion in the Digital Age,Black Freedom Dreams: America and the World,American Minstrelsy,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America"
CAS AA 221,CAS AA 221,CAS AN 461,CAS AN 210,CAS AA 297,CAS AN 336,CAS AN 234S,CAS AN 733,CAS AN 736,CAS AA 313,CAS AA 234,CAS AA 310,CAS AA 335S,CAS AH 528,CAS AA 304S,CAS EN 220S,CAS WR 120,CAS AH 111,CAS AA 371S,CAS AA 221,CAS AA 132
Catastrophe and Memory,Catastrophe and Memory,Ethnography and Anthropological Theory 1,Introduction to Medical Anthropology,African American Women's History,Primate Evolutionary Ecology,Evolutionary Psychology,Human Population Genetics,Primate Evolutionary Ecology,The Politics and Policy of HBO's The Wire,African Americans in Global Perspective: Slavery and the Creation of Race,Civil Rights History,"Sociology of Race, Class & Gender",Landscapes: Art and Environment in China,Introduction to African American Women Writers,Seminar in Literature,First-Year Writing Seminar,Pyramids to Cathedrals: An Introduction to Ancient and Medieval Art,Black Freedom Dreams: America and the World,Catastrophe and Memory,Write Back Soon: Blackness and the Prison
CAS AA 237,CAS AA 294,CAS AN 553,CAS AN 210S,CAS AA 319,CAS AN 519,CAS AN 235,CAS AR 516,CAS AR 307,CAS AA 319,CAS AA 234S,CAS AA 310S,CAS AA 356,CAS AH 533,CAS AA 305,CAS WR 150,CAS WR 120S,CAS AH 111S,CAS AH 112,CAS AA 383,CAS AA 215
Reconstructing the African Past,Religion and Black Popular Music,Human Uniqueness,Introduction to Medical Anthropology,Race and the Politics of Criminal Justice Policy,Theory and Method in Environmental Archaeology,Introduction to the Primate Senses,Paleoethnobotany,Archaeological Science,Race and the Politics of Criminal Justice Policy,African Americans in Global Perspective: Slavery and the Creation of Race,History of the Civil Rights Movement,Religion in the Digital Age,Seminar: Greek Art and Architecture,Toni Morrison's American Times,"Writing, Research, & Inquiry",First-Year Writing Seminar,Pyramids to Cathedrals: An Introduction to Ancient and Medieval Art,Introduction to Art in Europe and the United States from the Renaissance to Post- Modernism,African Diaspora Religions,Arts of Africa and Its Diaspora
CAS AA 237S,CAS AA 294S,CAS AN 558,CAS AN 309,CAS AA 319S,CAS AN 555,CAS AN 263,CAS AR 520,CAS AR 518,CAS AA 319S,CAS AA 237,CAS AA 335,CAS AA 371,CAS AN 235,CAS AA 305S,CAS WR 151,CGS RH 104E,CAS AH 228,CAS AH 112S,CAS AA 404,CAS AA 234
Reconstructing the African Past,Religion and Black Popular Music,The Evolutionary Biology of Human Sex Differences,Boston: An Ethnographic Approach (area),Race and the Politics of Criminal Justice Policy,Evolutionary Medicine,The Behavioral Biology of Women,Theory and Method in Environmental Archaeology,Zooarchaeology,Race and the Politics of Criminal Justice Policy,Reconstructing the African Past,"Sociology of Race, Class & Gender",Black Freedom Dreams: America and the World,Introduction to the Primate Senses,Toni Morrison's American Times,"Writing, Research, & Inquiry with Oral and/or Signed Expression",Rhetorical Practices from The Industrial Revolution through the Digital Revolution,Arts of the Silk Road,Introduction to Art in Europe and the United States from the Renaissance to Post- Modernism,Seminar on Sociology of Families,African Americans in Global Perspective: Slavery and the Creation of Race
CAS AA 287,CAS AA 296,CAS AN 562,CAS AN 309S,CAS AA 415,CAS AN 556,CAS AN 263S,CAS AS 203,CAS AS 100,CAS AH 330,CAS AA 237S,CAS AA 335S,CAS AA 371S,CAS AN 461,CAS AA 356,CAS WR 151E,CGS RH 104S,CAS AH 317,CAS AH 284,CAS AA 411,CAS AA 234S
Slavery and the In-Between,Religion and Hip Hop,The Origins of War,Boston: An Ethnographic Approach,Fictions of Race and Migration,The Evolution of the Human Diet,The Behavioral Biology of Women,Principles of Astronomy 2,Cosmic Controversies,Greek Archaeology,Reconstructing the African Past,"Sociology of Race, Class & Gender",Black Freedom Dreams: America and the World,Ethnography and Anthropological Theory 1,Religion in the Digital Age,"Writing, Research, & Inquiry with Oral and/or Signed Expression",Rhetorical Practices from The Industrial Revolution through the Digital Revolution,From Morocco to Timbuktu: Art and Architecture at the Saharan Crossroads,Arts in America,"Race, Memory, and Diaspora in US Popular Music",African Americans in Global Perspective: Slavery and the Creation of Race
